City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,comodoro rivadavia,-45.8667,-67.5,24.92,27,0,12.35,AR,1679951677
322,edd,13.9297,41.6925,25.7,69,60,6.05,ER,1679951677
323,oranzherei,45.8476,47.5663,11.84,82,100,4.06,RU,1679951678
324,nanortalik,60.1432,-45.2371,-1.15,80,3,0.47,GL,1679951678
325,coihueco,-36.6167,-71.8333,26.41,24,2,5.14,CL,1679951516
326,san patricio,28.017,-97.5169,26.97,65,88,5.76,US,1679951678
327,adrar,20.5022,-10.0711,27.52,13,0,3.95,MR,1679951679
328,narsaq,60.9167,-46.05,4.12,82,2,0.73,GL,1679951679
329,huntsville,34.7304,-86.5861,23.93,41,0,3.6,US,1679951459
330,linkou,45.3,130.2833,-0.15,38,73,1.88,CN,1679951679
331,ilawa,53.596,19.5685,-2.34,73,3,2.24,PL,1679951679
332,lata,40.1629,-8.3327,15.51,62,91,0.85,PT,1679951680
333,turmalina,-17.2856,-42.73,27.56,45,80,3.01,BR,1679951680
334,tromso,69.6496,18.957,-7.01,73,0,1.03,NO,1679951681
335,zhangjiakou,40.81,114.8794,4.95,27,0,1.23,CN,1679951681
336,shingu,33.7333,135.9833,8.14,61,100,2.48,JP,1679951681
337,egvekinot,66.3167,-179.1667,-25.5,92,26,1.73,RU,1679951681
338,bagnes,46.0833,7.2167,1.17,56,75,4.12,CH,1679951681
339,obihiro,42.9172,143.2044,-2.18,76,1,1.74,JP,1679951682
340,itajuba,-22.4256,-45.4528,23.2,79,94,1.66,BR,1679951682
341,belozerskoye,55.8214,65.5842,4.36,81,100,7.48,RU,1679951682
342,semey,50.4111,80.2275,2.19,87,9,2.84,KZ,1679951682
343,cabedelo,-6.9811,-34.8339,27.37,74,100,4.37,BR,1679951683
344,fairbanks,64.8378,-147.7164,3.19,50,100,0.0,US,1679951683
345,mindelo,16.8901,-24.9804,22.75,64,0,5.14,CV,1679951684
346,alta floresta,-9.8756,-56.0861,25.34,91,97,0.44,BR,1679951684
347,bambanglipuro,-7.95,110.2833,24.44,83,100,1.0,ID,1679951684
348,port macquarie,-31.4333,152.9167,18.83,86,46,2.1,AU,1679951685
349,lavrentiya,65.5833,-171.0,-18.05,84,7,3.41,RU,1679951685
350,srandakan,-7.9386,110.2506,24.49,83,100,1.05,ID,1679951685
351,geraldton,-28.7667,114.6,20.23,64,0,4.63,AU,1679951685
352,vila,42.0304,-8.1588,9.83,62,100,1.02,PT,1679951686
353,blovstrod,55.8704,12.3864,0.79,85,77,0.89,DK,1679951686
354,port hedland,-20.3167,118.5667,26.03,100,47,2.06,AU,1679951686
355,garachine,8.0647,-78.3628,28.19,76,22,1.26,PA,1679951686
356,san quintin,30.4833,-115.95,17.89,44,34,4.08,MX,1679951688
357,dingle,10.9995,122.6711,23.52,92,95,3.15,PH,1679951688
358,tualatin,45.384,-122.764,14.03,48,20,1.34,US,1679951688
359,grand-santi,4.25,-54.3833,24.94,94,56,1.45,GF,1679951688
360,shiyan,32.6475,110.7781,11.6,60,100,0.37,CN,1679951689
361,fort nelson,58.8053,-122.7002,2.42,64,13,1.04,CA,1679951689
362,chelmek,50.1016,19.248,0.93,48,90,3.99,PL,1679951689
363,innisfail,-17.5333,146.0333,20.66,84,10,1.31,AU,1679951689
364,rovaniemi,66.5,25.7167,-10.33,79,0,3.09,FI,1679951690
365,tanggu,39.0211,117.6469,6.98,39,0,1.84,CN,1679951690
366,qaqortoq,60.7167,-46.0333,-2.38,83,4,0.24,GL,1679951690
